Passenger Id,NewEmbarked,Pclass,AgeBin,New age,Titles,Embarked,FareBin,Fare,Survived,Sex,File,Total_Company
1,S,3,1,22,Mr,S,0,7.25,0,male,train,1
2,C,1,2,38,Ms,C,5,71.2833,1,female,train,1
3,S,3,1,26,Ms,S,1,7.925,1,female,train,0
4,S,1,2,35,Ms,S,5,53.1,1,female,train,1
5,S,3,2,35,Mr,S,1,8.05,0,male,train,0
6,Q,3,1,25,Mr,Q,1,8.4583,0,male,train,0
7,S,1,3,54,Mr,S,4,51.8625,0,male,train,0
8,S,3,0,2,Mr,S,3,21.075,0,male,train,4
9,S,3,1,27,Ms,S,2,11.1333,1,female,train,2
10,C,2,0,14,Ms,C,4,30.0708,1,female,train,1
11,S,3,0,4,Ms,S,3,16.7,1,female,train,2
12,S,1,3,58,Ms,S,4,26.55,1,female,train,0
13,S,3,1,20,Mr,S,1,8.05,0,male,train,0
14,S,3,2,39,Mr,S,4,31.275,0,male,train,6
15,S,3,0,14,Ms,S,1,7.8542,0,female,train,0
16,S,2,3,55,Ms,S,3,16,1,female,train,0
17,Q,3,0,2,Mr,Q,4,29.125,0,male,train,5
18,S,2,1,30,Mr,S,2,13,1,male,train,0
19,S,3,1,31,Ms,S,3,18,0,female,train,1
20,C,3,1,25,Ms,C,0,7.225,1,female,train,0
21,S,2,2,35,Mr,S,3,26,0,male,train,0
22,S,2,2,34,Mr,S,2,13,1,male,train,0
23,Q,3,0,15,Ms,Q,1,8.0292,1,female,train,0
24,S,1,1,28,Mr,S,4,35.5,1,male,train,0
25,S,3,0,8,Ms,S,3,21.075,0,female,train,4
26,S,3,2,38,Ms,S,4,31.3875,1,female,train,6
27,C,3,1,25,Mr,C,0,7.225,0,male,train,0
28,S,1,1,19,Mr,S,5,263,0,male,train,5
29,Q,3,1,25,Ms,Q,1,7.8792,1,female,train,0
30,S,3,1,25,Mr,S,1,7.8958,0,male,train,0
31,C,1,2,40,Honorary,C,4,27.7208,0,male,train,0
32,C,1,2,38,Ms,C,5,146.5208,1,female,train,1
33,Q,3,1,25,Ms,Q,0,7.75,1,female,train,0
34,S,2,4,66,Mr,S,2,10.5,0,male,train,0
35,C,1,1,28,Mr,C,5,82.1708,0,male,train,1
36,S,1,2,42,Mr,S,4,52,0,male,train,1
37,C,3,1,25,Mr,C,0,7.2292,1,male,train,0
38,S,3,1,21,Mr,S,1,8.05,0,male,train,0
39,S,3,1,18,Ms,S,3,18,0,female,train,2
40,C,3,0,14,Ms,C,2,11.2417,1,female,train,1
41,S,3,2,40,Ms,S,2,9.475,0,female,train,1
